2 processes 10 barriers
Total time = 0.000938
Total time = 0.000809
Total time = 0.001106
Total time = 0.000981
Total time = 0.000803
Total time = 0.001009
Total time = 0.001102
Total time = 0.001020
Total time = 0.000948
Total time = 0.000960
Total time = 0.001147
Total time = 0.001122

5 processes 10 barriers
Total time = 0.003156
Total time = 0.002569
Total time = 0.003327
Total time = 0.004001
Total time = 0.002795
Total time = 0.003010
Total time = 0.002885
Total time = 0.003202
Total time = 0.003102
Total time = 0.003069
Total time = 0.003288
Total time = 0.003195

8 processes 10 barriers
Total time = 0.002277
Total time = 0.002223
Total time = 0.002506
Total time = 0.002351
Total time = 0.002534
Total time = 0.002351
Total time = 0.002555
Total time = 0.002402
Total time = 0.002138
Total time = 0.002365
Total time = 0.037754
Total time = 0.002755

12 processes 10 barriers
Total time = 0.002154
Total time = 0.002329
Total time = 0.001778
Total time = 0.002257
Total time = 0.002177
Total time = 0.002701
Total time = 0.002518
Total time = 0.002313
Total time = 0.001948
Total time = 0.002457
Total time = 0.002067
Total time = 0.028071
