2 processes 100 barriers
Total time = 0.006517
Total time = 0.005022
Total time = 0.005443
Total time = 0.006258
Total time = 0.006964
Total time = 0.005695
Total time = 0.005180
Total time = 0.006425
Total time = 0.006594
Total time = 0.005196

5 processes 100 barriers
Total time = 0.015775
Total time = 0.014825
Total time = 0.013537
Total time = 0.014720
Total time = 0.013734
Total time = 0.015768
Total time = 0.016842
Total time = 0.013741
Total time = 0.015261
Total time = 0.015067

8 processes 100 barriers
Total time = 0.012808
Total time = 0.036691
Total time = 0.011762
Total time = 0.010705
Total time = 0.011531
Total time = 0.012061
Total time = 0.022473
Total time = 0.012503
Total time = 0.010772
Total time = 0.011187
Total time = 0.009172

12 processes 100 barriers
Total time = 0.011059
Total time = 0.012622
Total time = 0.024659
Total time = 0.012199
Total time = 0.014505
Total time = 0.011941
Total time = 0.011073
Total time = 0.012525
Total time = 0.012490
Total time = 0.015883
