2 processes 100 barriers
Total time = 0.005996
Total time = 0.011827
Total time = 0.012260
Total time = 0.010081
Total time = 0.010725
Total time = 0.006051
Total time = 0.010849
Total time = 0.005739
Total time = 0.006445
Total time = 0.012083

5 processes 100 barriers
Total time = 0.012612
Total time = 0.016697
Total time = 0.015954
Total time = 0.013344
Total time = 0.015511
Total time = 0.013517
Total time = 0.011881
Total time = 0.011014
Total time = 0.016860
Total time = 0.016390

8 processes 100 barriers
Total time = 0.019316
Total time = 0.015458
Total time = 0.014765
Total time = 0.014991
Total time = 0.014187
Total time = 0.017674
Total time = 0.016435
Total time = 0.014446
Total time = 0.021821
Total time = 0.013824

12 processes 100 barriers
Total time = 0.020213
Total time = 0.020400
Total time = 0.017540
Total time = 0.015161
Total time = 0.023628
Total time = 0.022235
Total time = 0.015917
Total time = 0.101809
Total time = 0.017148
Total time = 0.017669
